2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:50:04,583 [INFO] iter 118: loss 3.8312, time 181.57ms, mfu 10.93%, tok/s 45,118
2026-07-14 11:50:04,766 [INFO] iter 119: loss 3.7513, time 182.72ms, mfu 10.94%, tok/s 44,833
2026-07-14 11:50:04,946 [INFO] iter 120: loss 3.7561, time 180.70ms, mfu 10.97%, tok/s 45,335
2026-07-14 11:50:05,128 [INFO] iter 121: loss 3.6884, time 181.74ms, mfu 10.98%, tok/s 45,074
2026-07-14 11:50:05,311 [INFO] iter 122: loss 3.6431, time 183.20ms, mfu 10.99%, tok/s 44,716
2026-07-14 11:50:05,493 [INFO] iter 123: loss 3.6035, time 181.73ms, mfu 11.00%, tok/s 45,079
2026-07-14 11:50:05,676 [INFO] iter 124: loss 3.5850, time 183.36ms, mfu 11.00%, tok/s 44,678
2026-07-14 11:50:05,857 [INFO] iter 125: loss 3.5998, time 180.48ms, mfu 11.02%, tok/s 45,389
2026-07-14 11:50:06,040 [INFO] iter 126: loss 3.5754, time 182.80ms, mfu 11.03%, tok/s 44,815
2026-07-14 11:50:06,222 [INFO] iter 127: loss 3.7075, time 182.35ms, mfu 11.03%, tok/s 44,925
2026-07-14 11:50:06,403 [INFO] iter 128: loss 3.6288, time 180.88ms, mfu 11.05%, tok/s 45,290
2026-07-14 11:50:06,585 [INFO] iter 129: loss 3.5113, time 182.00ms, mfu 11.05%, tok/s 45,011
2026-07-14 11:50:06,765 [INFO] iter 130: loss 3.5906, time 180.76ms, mfu 11.07%, tok/s 45,320
2026-07-14 11:50:06,947 [INFO] iter 131: loss 3.6424, time 181.04ms, mfu 11.08%, tok/s 45,250
2026-07-14 11:50:07,130 [INFO] iter 132: loss 3.5131, time 183.09ms, mfu 11.07%, tok/s 44,744
2026-07-14 11:50:07,313 [INFO] iter 133: loss 3.6862, time 183.15ms, mfu 11.07%, tok/s 44,728
2026-07-14 11:50:07,496 [INFO] iter 134: loss 3.7581, time 182.59ms, mfu 11.07%, tok/s 44,866
2026-07-14 11:50:07,678 [INFO] iter 135: loss 3.6099, time 181.83ms, mfu 11.07%, tok/s 45,054
2026-07-14 11:50:07,860 [INFO] iter 136: loss 3.5128, time 182.72ms, mfu 11.07%, tok/s 44,832
2026-07-14 11:50:08,043 [INFO] iter 137: loss 3.5627, time 182.37ms, mfu 11.07%, tok/s 44,921
2026-07-14 11:50:08,226 [INFO] iter 138: loss 3.5583, time 183.07ms, mfu 11.07%, tok/s 44,747
