2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 16:58:13,739 [INFO] iter 97: loss 6.3390, time 9648.81ms, mfu 13.98%, tok/s 50,941
2026-07-12 16:58:23,381 [INFO] iter 98: loss 6.2091, time 9636.44ms, mfu 13.98%, tok/s 51,006
2026-07-12 16:58:33,003 [INFO] iter 99: loss 6.1210, time 9624.16ms, mfu 13.98%, tok/s 51,071
2026-07-12 16:58:42,639 [INFO] iter 100: loss 6.2004, time 9635.52ms, mfu 13.98%, tok/s 51,011
2026-07-12 16:58:52,270 [INFO] iter 101: loss 6.2372, time 9630.81ms, mfu 13.98%, tok/s 51,036
2026-07-12 16:59:01,889 [INFO] iter 102: loss 6.1786, time 9618.87ms, mfu 13.98%, tok/s 51,100
2026-07-12 16:59:11,520 [INFO] iter 103: loss 6.0783, time 9631.19ms, mfu 13.98%, tok/s 51,034
2026-07-12 16:59:21,161 [INFO] iter 104: loss 6.0801, time 9641.44ms, mfu 13.98%, tok/s 50,980
2026-07-12 16:59:30,784 [INFO] iter 105: loss 6.1424, time 9625.27ms, mfu 13.98%, tok/s 51,066
2026-07-12 16:59:40,422 [INFO] iter 106: loss 6.1134, time 9633.87ms, mfu 13.98%, tok/s 51,020
2026-07-12 16:59:50,060 [INFO] iter 107: loss 5.9320, time 9637.21ms, mfu 13.98%, tok/s 51,002
2026-07-12 16:59:59,685 [INFO] iter 108: loss 5.9124, time 9628.40ms, mfu 13.98%, tok/s 51,049
2026-07-12 17:00:09,312 [INFO] iter 109: loss 5.9723, time 9625.04ms, mfu 13.98%, tok/s 51,067
2026-07-12 17:00:18,934 [INFO] iter 110: loss 5.9201, time 9624.66ms, mfu 13.98%, tok/s 51,069
2026-07-12 17:00:28,564 [INFO] iter 111: loss 5.9313, time 9629.02ms, mfu 13.98%, tok/s 51,046
2026-07-12 17:00:38,193 [INFO] iter 112: loss 5.9122, time 9628.98ms, mfu 13.98%, tok/s 51,046
2026-07-12 17:00:47,809 [INFO] iter 113: loss 5.7860, time 9615.49ms, mfu 13.99%, tok/s 51,118
2026-07-12 17:00:57,442 [INFO] iter 114: loss 5.8587, time 9634.58ms, mfu 13.98%, tok/s 51,016
2026-07-12 17:01:07,084 [INFO] iter 115: loss 5.7623, time 9640.27ms, mfu 13.98%, tok/s 50,986
2026-07-12 17:01:16,716 [INFO] iter 116: loss 5.7770, time 9629.34ms, mfu 13.98%, tok/s 51,044
2026-07-12 17:01:26,363 [INFO] iter 117: loss 5.6107, time 9647.09ms, mfu 13.98%, tok/s 50,950
2026-07-12 17:01:35,991 [INFO] iter 118: loss 5.6336, time 9632.20ms, mfu 13.98%, tok/s 51,029
2026-07-12 17:01:45,631 [INFO] iter 119: loss 5.6143, time 9638.22ms, mfu 13.98%, tok/s 50,997
2026-07-12 17:01:55,265 [INFO] iter 120: loss 5.6059, time 9632.93ms, mfu 13.98%, tok/s 51,025
2026-07-12 17:02:04,897 [INFO] iter 121: loss 5.5379, time 9634.25ms, mfu 13.98%, tok/s 51,018
2026-07-12 17:02:14,540 [INFO] iter 122: loss 5.5618, time 9641.53ms, mfu 13.98%, tok/s 50,979
2026-07-12 17:02:24,179 [INFO] iter 123: loss 5.5116, time 9637.82ms, mfu 13.98%, tok/s 50,999
2026-07-12 17:02:33,804 [INFO] iter 124: loss 5.5262, time 9630.46ms, mfu 13.98%, tok/s 51,038
2026-07-12 17:02:43,431 [INFO] iter 125: loss 5.5235, time 9623.56ms, mfu 13.98%, tok/s 51,075
2026-07-12 17:02:53,067 [INFO] iter 126: loss 5.4585, time 9637.75ms, mfu 13.98%, tok/s 50,999
2026-07-12 17:03:02,699 [INFO] iter 127: loss 5.4029, time 9633.18ms, mfu 13.98%, tok/s 51,024
2026-07-12 17:03:12,341 [INFO] iter 128: loss 5.4136, time 9638.11ms, mfu 13.98%, tok/s 50,998
2026-07-12 17:03:21,981 [INFO] iter 129: loss 5.3497, time 9641.01ms, mfu 13.98%, tok/s 50,982
2026-07-12 17:03:31,619 [INFO] iter 130: loss 5.4312, time 9638.06ms, mfu 13.98%, tok/s 50,998
2026-07-12 17:03:41,258 [INFO] iter 131: loss 5.2277, time 9640.31ms, mfu 13.98%, tok/s 50,986
2026-07-12 17:03:50,896 [INFO] iter 132: loss 5.3620, time 9637.15ms, mfu 13.98%, tok/s 51,003
2026-07-12 17:04:00,527 [INFO] iter 133: loss 5.2626, time 9633.42ms, mfu 13.98%, tok/s 51,022
2026-07-12 17:04:10,151 [INFO] iter 134: loss 5.2201, time 9621.98ms, mfu 13.98%, tok/s 51,083
2026-07-12 17:04:19,785 [INFO] iter 135: loss 5.2694, time 9632.82ms, mfu 13.98%, tok/s 51,026
2026-07-12 17:04:29,422 [INFO] iter 136: loss 5.2164, time 9638.89ms, mfu 13.98%, tok/s 50,993
2026-07-12 17:04:39,059 [INFO] iter 137: loss 5.0900, time 9633.31ms, mfu 13.98%, tok/s 51,023
2026-07-12 17:04:48,697 [INFO] iter 138: loss 5.0883, time 9642.55ms, mfu 13.98%, tok/s 50,974
2026-07-12 17:04:58,343 [INFO] iter 139: loss 5.0973, time 9643.99ms, mfu 13.97%, tok/s 50,966
2026-07-12 17:05:07,975 [INFO] iter 140: loss 5.1508, time 9632.44ms, mfu 13.98%, tok/s 51,028
2026-07-12 17:05:17,623 [INFO] iter 141: loss 5.0438, time 9646.18ms, mfu 13.97%, tok/s 50,955
2026-07-12 17:05:27,247 [INFO] iter 142: loss 5.0722, time 9626.44ms, mfu 13.98%, tok/s 51,059
2026-07-12 17:05:36,879 [INFO] iter 143: loss 4.9923, time 9629.62ms, mfu 13.98%, tok/s 51,043
2026-07-12 17:05:46,509 [INFO] iter 144: loss 4.9409, time 9629.54ms, mfu 13.98%, tok/s 51,043
2026-07-12 17:05:56,144 [INFO] iter 145: loss 4.8729, time 9634.34ms, mfu 13.98%, tok/s 51,018
2026-07-12 17:06:05,783 [INFO] iter 146: loss 4.9242, time 9640.22ms, mfu 13.98%, tok/s 50,986
2026-07-12 17:06:15,426 [INFO] iter 147: loss 4.9175, time 9645.09ms, mfu 13.97%, tok/s 50,961
2026-07-12 17:06:25,062 [INFO] iter 148: loss 4.8109, time 9630.35ms, mfu 13.98%, tok/s 51,039
2026-07-12 17:06:34,683 [INFO] iter 149: loss 4.8827, time 9625.79ms, mfu 13.98%, tok/s 51,063
2026-07-12 17:06:44,315 [INFO] iter 150: loss 4.8844, time 9630.23ms, mfu 13.98%, tok/s 51,039
2026-07-12 17:06:54,018 [INFO] iter 151: loss 4.8822, time 9704.54ms, mfu 13.97%, tok/s 50,648
2026-07-12 17:07:03,696 [INFO] iter 152: loss 4.8380, time 9672.87ms, mfu 13.96%, tok/s 50,814
2026-07-12 17:07:13,388 [INFO] iter 153: loss 4.7537, time 9693.26ms, mfu 13.96%, tok/s 50,707
2026-07-12 17:07:23,070 [INFO] iter 154: loss 4.6924, time 9684.88ms, mfu 13.95%, tok/s 50,751
2026-07-12 17:07:32,759 [INFO] iter 155: loss 4.7723, time 9683.49ms, mfu 13.95%, tok/s 50,759
2026-07-12 17:07:42,440 [INFO] iter 156: loss 4.7490, time 9683.14ms, mfu 13.94%, tok/s 50,760
2026-07-12 17:07:52,112 [INFO] iter 157: loss 4.7801, time 9674.10ms, mfu 13.94%, tok/s 50,808
2026-07-12 17:08:01,789 [INFO] iter 158: loss 4.6126, time 9676.82ms, mfu 13.94%, tok/s 50,794
2026-07-12 17:08:11,466 [INFO] iter 159: loss 4.5922, time 9674.65ms, mfu 13.94%, tok/s 50,805
2026-07-12 17:08:21,136 [INFO] iter 160: loss 4.6200, time 9674.90ms, mfu 13.93%, tok/s 50,804
2026-07-12 17:08:30,818 [INFO] iter 161: loss 4.5084, time 9681.47ms, mfu 13.93%, tok/s 50,769
2026-07-12 17:08:40,499 [INFO] iter 162: loss 4.6275, time 9673.34ms, mfu 13.93%, tok/s 50,812
2026-07-12 17:08:50,173 [INFO] iter 163: loss 4.5678, time 9680.24ms, mfu 13.93%, tok/s 50,776
2026-07-12 17:08:59,850 [INFO] iter 164: loss 4.4657, time 9677.61ms, mfu 13.93%, tok/s 50,789
2026-07-12 17:09:09,527 [INFO] iter 165: loss 4.5806, time 9672.33ms, mfu 13.93%, tok/s 50,817
2026-07-12 17:09:19,201 [INFO] iter 166: loss 4.6160, time 9681.40ms, mfu 13.92%, tok/s 50,770
2026-07-12 17:09:28,888 [INFO] iter 167: loss 4.4715, time 9684.78ms, mfu 13.92%, tok/s 50,752
2026-07-12 17:09:38,565 [INFO] iter 168: loss 4.6074, time 9672.32ms, mfu 13.92%, tok/s 50,817
